postcode,szzcd,district
400322,GL,14
400323,GL,14
400324,GL,14
400325,GL,14
400326,GL,14
400327,GL,14
400328,GL,14
400329,GL,14
400330,GL,14
400331,GL,14
400332,GL,14
400333,GL,14
400334,GL,14
400335,GL,14
400336,GL,14
400337,GL,14
400338,GL,14
400339,GL,14
400340,GL,14
400341,GL,14
400342,GL,14
400343,GL,14
400344,GL,14
400345,GL,14
400346,GL,14
400347,GL,14
400348,GL,14
400349,GL,14
400350,GL,14
400351,GL,14
400352,GL,14
400410,GL,14
400411,GL,14
400412,GL,14
400413,GL,14
400414,GL,14
400415,GL,14
400416,GL,14
400417,GL,14
400824,GL,14
400826,GL,14
400828,GL,14
400830,GL,14
400832,GL,14
400834,GL,14
400836,GL,14
400838,GL,14
400840,GL,14
400842,GL,14
400844,GL,14
400846,GL,14
400848,GL,14
401001,GL,14
401002,GL,14
402003,GL,14
403002,GL,14
404002,GL,14
405002,GL,14
406002,GL,14
410101,BD,14
410102,BD,14
410103,BD,14
410104,BD,14
410105,BD,14
410106,BD,14
410107,BD,14
410108,BD,14
410109,BD,14
410110,BD,14
410111,BD,14
410112,BD,14
410113,BD,14
410114,BD,14
410115,BD,14
410116,BD,14
410633,BD,14
