postcode,lat,lng,district
683296,1.376565,103.74224,23
683297,1.376565,103.74224,23
683476,1.377366,103.7379349,23
683484,1.377366,103.7379349,23
683485,1.377366,103.7379349,23
683487,1.377366,103.7379349,23
683490,1.377366,103.7379349,23
683683,1.40469,103.74625,23
683684,1.40469,103.74625,23
683685,1.40469,103.74625,23
683686,1.40469,103.74625,23
683687,1.40469,103.74625,23
683688,1.40469,103.74625,23
683690,1.40469,103.74625,23
684296,1.376587,103.742999,23
684297,1.376587,103.742999,23
684476,1.377295,103.738334,23
684484,1.377295,103.738334,23
684485,1.377295,103.738334,23
684489,1.377295,103.738334,23
684684,1.404566,103.74672,23
684686,1.404566,103.74672,23
684687,1.404566,103.74672,23
684690,1.404566,103.74672,23
685296,1.3769309,103.743014,23
688363,1.389977,103.752493,23
688368,1.389977,103.752493,23
688541,1.391249,103.7522089,23
688654,1.39264,103.752229,23
688667,1.39264,103.752229,23
688684,1.39264,103.752229,23
688758,1.389791,103.750565,23
689048,1.378176,103.746234,23
689049,1.378176,103.746234,23
689050,1.378176,103.746234,23
689051,1.378176,103.746234,23
689094,1.378176,103.746234,23
689096,1.378176,103.746234,23
689097,1.378176,103.746234,23
689099,1.378176,103.746234,23
689101,1.398885,103.750041,23
689103,1.398885,103.750041,23
689104,1.398885,103.750041,23
689105,1.398885,103.750041,23
689106,1.398885,103.750041,23
689527,1.3989339,103.749105,23
689528,1.3989339,103.749105,23
689574,1.3989339,103.749105,23
689575,1.3989339,103.749105,23
689577,1.3989339,103.749105,23
689580,1.3989339,103.749105,23
689670,1.387604,103.744764,23
689671,1.387604,103.744764,23
689672,1.387604,103.744764,23
689673,1.387604,103.744764,23
689674,1.387604,103.744764,23
689675,1.387604,103.744764,23
689676,1.387604,103.744764,23
689680,1.387604,103.744764,23
689682,1.387604,103.744764,23
689685,1.387604,103.744764,23
689686,1.387604,103.744764,23
689862,1.383866,103.747454,23
689864,1.383866,103.747454,23
689865,1.383866,103.747454,23
730001,1.440718,103.776477,25
730002,1.440718,103.776477,25
730003,1.440718,103.776477,25
730004,1.440718,103.776477,25
730005,1.440718,103.776477,25
730006,1.440718,103.776477,25
730007,1.440718,103.776477,25
730008,1.440718,103.776477,25
730009,1.440718,103.776477,25
730010,1.440718,103.776477,25
730011,1.440718,103.776477,25
730012,1.440718,103.776477,25
730013,1.440718,103.776477,25
730015,1.440718,103.776477,25
730016,1.440718,103.776477,25
730017,1.440718,103.776477,25
730018,1.440718,103.776477,25
730019,1.440718,103.776477,25
730022,1.440718,103.776477,25
730023,1.440718,103.776477,25
730024,1.440718,103.776477,25
730025,1.440718,103.776477,25
730026,1.440718,103.776477,25
730027,1.440718,103.776477,25
730028,1.440718,103.776477,25
730029,1.440718,103.776477,25
730030,1.440718,103.776477,25
730031,1.440718,103.776477,25
730032,1.440718,103.776477,25
730033,1.440718,103.776477,25
730034,1.440718,103.776477,25
730035,1.440718,103.776477,25
730036,1.440718,103.776477,25
730037,1.440718,103.776477,25
730101,1.43603,103.7818489,25
730102,1.43603,103.7818489,25
730103,1.43603,103.7818489,25
730104,1.43603,103.7818489,25
730105,1.43603,103.7818489,25
730106,1.43603,103.7818489,25
730107,1.43603,103.7818489,25
730108,1.43603,103.7818489,25
730109,1.43603,103.7818489,25
730110,1.43603,103.7818489,25
730111,1.43603,103.7818489,25
730112,1.43603,103.7818489,25
730113,1.43603,103.7818489,25
730114,1.43603,103.7818489,25
730115,1.43603,103.7818489,25
730116,1.43603,103.7818489,25
730117,1.43603,103.7818489,25
730118,1.43603,103.7818489,25
730119,1.43603,103.7818489,25
730120,1.43603,103.7818489,25
730121,1.43603,103.7818489,25
730122,1.43603,103.7818489,25
730123,1.43603,103.7818489,25
730124,1.43603,103.7818489,25
730125,1.43603,103.7818489,25
730126,1.43603,103.7818489,25
730127,1.43603,103.7818489,25
730128,1.43603,103.7818489,25
730129,1.43603,103.7818489,25
730130,1.43603,103.7818489,25
730131,1.43603,103.7818489,25
730132,1.43603,103.7818489,25
730133,1.43603,103.7818489,25
730134,1.43603,103.7818489,25
730135,1.43603,103.7818489,25
730136,1.43603,103.7818489,25
730137,1.43603,103.7818489,25
730138,1.43603,103.7818489,25
730139,1.43603,103.7818489,25
730140,1.43603,103.7818489,25
730141,1.43603,103.7818489,25
730142,1.43603,103.7818489,25
730143,1.43603,103.7818489,25
730144,1.43603,103.7818489,25
730145,1.43603,103.7818489,25
730146,1.43603,103.7818489,25
730147,1.43603,103.7818489,25
730148,1.43603,103.7818489,25
730149,1.43603,103.7818489,25
730150,1.43603,103.7818489,25
730151,1.43603,103.7818489,25
730152,1.43603,103.7818489,25
730153,1.43603,103.7818489,25
730154,1.43603,103.7818489,25
730155,1.43603,103.7818489,25
730156,1.43603,103.7818489,25
730157,1.43603,103.7818489,25
730158,1.43603,103.7818489,25
730159,1.43603,103.7818489,25
730160,1.43603,103.7818489,25
730161,1.43603,103.7818489,25
730162,1.43603,103.7818489,25
730163,1.43603,103.7818489,25
730164,1.43603,103.7818489,25
730165,1.43603,103.7818489,25
730166,1.43603,103.7818489,25
730167,1.43603,103.7818489,25
730168,1.43603,103.7818489,25
730169,1.43603,103.7818489,25
730170,1.43603,103.7818489,25
730171,1.43603,103.7818489,25
