"Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Unit Price ($ psm)","Unit Price ($ psf)","Contract Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","Postal Code","latitude","longitude"
"1 CANBERRA","21 Canberra Drive  #03-43 ","1","98","Strata","761012","7765","721","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","25 Canberra Drive  #02-51 ","1","98","Strata","767600","7833","728","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","21 Canberra Drive  #09-43 ","1","98","Strata","783000","7990","742","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","3 Canberra Drive  #05-07 ","1","88","Strata","678700","7713","717","2013-10-28","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","3 Canberra Drive  #09-07 ","1","88","Strata","689312","7833","728","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","25 Canberra Drive  #05-49 ","1","98","Strata","748212","7635","709","2013-10-09","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","21 Canberra Drive  #04-43 ","1","98","Strata","764812","7804","725","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","15 Canberra Drive  #02-32 ","1","97","Strata","749000","7722","717","2013-08-19","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768073","North Region","Yishun","768073","1.43761708401909","103.829271000793"
"1 CANBERRA","23 Canberra Drive  #05-45 ","1","89","Strata","700900","7875","732","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","3 Canberra Drive  #06-08 ","1","88","Strata","684512","7779","723","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","11 Canberra Drive  #10-23 ","1","98","Strata","772000","7878","732","2013-08-06","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","11 Canberra Drive  #03-24 ","1","97","Strata","736612","7594","705","2013-10-28","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","23 Canberra Drive  #12-47 ","1","97","Strata","796412","8210","763","2013-09-20","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","1 Canberra Drive  #05-04 ","1","88","Strata","678700","7713","717","2013-10-21","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","25 Canberra Drive  #04-49 ","1","98","Strata","744312","7595","706","2013-08-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","1 Canberra Drive  #08-04 ","1","88","Strata","687400","7811","726","2013-10-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","11 Canberra Drive  #04-23 ","1","98","Strata","739312","7544","701","2013-08-19","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"111 EMERALD HILL","111 Emerald Hill Road  #06-04 ","1","197","Strata","5060674","25689","2387","2013-11-07","Apartment","Freehold","2011","New Sale","Private","09","22","229391","Central Region","Newton","229391","1.3050587977949","103.83923584865"
"111 EMERALD HILL","111 Emerald Hill Road  #05-04 ","1","197","Strata","4878300","24763","2301","2013-10-02","Apartment","Freehold","2011","New Sale","Private","09","22","229391","Central Region","Newton","229391","1.3050587977949","103.83923584865"
