postcode,subzone,district
218392,607.0,08
218437,607.0,08
218593,5101.0,08
218612,5101.0,08
218745,5101.0,08
218746,5101.0,08
218926,607.0,08
219067,607.0,08
219219,607.0,08
219261,607.0,08
219268,607.0,08
219647,607.0,08
219679,607.0,08
228025,5107.0,09
228073,5107.0,09
228079,5107.0,09
228084,5107.0,09
228163,5107.0,09
228175,5107.0,09
228191,5107.0,09
228192,5107.0,09
228223,4704.0,09
228229,4704.0,09
228232,4704.0,09
228238,4704.0,09
228239,4704.0,09
228240,4704.0,09
228307,4704.0,09
228459,5107.0,09
228490,5107.0,09
228492,5107.0,09
228493,5107.0,09
228600,802.0,09
228867,802.0,09
228941,4704.0,09
229017,4704.0,09
229158,4704.0,09
229161,4704.0,09
229236,4601.0,09
229391,4704.0,09
229401,4704.0,09
229594,4902.0,09
229618,4705.0,09
229622,4705.0,09
229658,4705.0,09
229664,4705.0,09
229666,4705.0,09
229717,4704.0,09
229720,4704.0,09
229721,4704.0,09
229743,4704.0,09
229747,4704.0,09
229809,4704.0,09
229814,4704.0,09
229815,4704.0,09
229816,4704.0,09
229920,4704.0,09
229953,4704.0,09
229955,4704.0,09
229975,4704.0,09
229976,4704.0,09
229977,4704.0,09
229979,4704.0,09
237988,5205.0,09
237990,5205.0,09
238010,5205.0,09
238011,5205.0,09
238026,5205.0,09
238126,5203.0,09
238140,5203.0,09
238142,5203.0,09
238144,5203.0,09
238213,5301.0,09
238250,5301.0,09
238252,5301.0,09
238255,5301.0,09
238257,5301.0,09
238258,5301.0,09
238274,5301.0,09
238275,5301.0,09
238291,5301.0,09
238307,5205.0,09
238309,5205.0,09
238349,5205.0,09
238359,5205.0,09
238428,5205.0,09
238509,5201.0,09
238518,5201.0,09
238549,5201.0,09
238550,5201.0,09
238568,5201.0,09
238598,5201.0,09
238710,4601.0,09
238712,4601.0,09
238714,4601.0,09
238765,4601.0,09
239107,5204.0,09
239191,5204.0,09
239194,5204.0,09
239197,5204.0,09
239223,5203.0,09
239224,5203.0,09
239228,5203.0,09
239328,5205.0,09
239332,5205.0,09
239381,5205.0,09
239427,5301.0,09
239471,5301.0,09
239497,5301.0,09
239555,5203.0,09
239565,5203.0,09
239573,5203.0,09
239616,4602.0,09
239618,4602.0,09
239619,4602.0,09
239700,5203.0,09
239864,5203.0,09
239896,5203.0,09
239897,5203.0,09
239900,5203.0,09
239949,5203.0,09
239974,5203.0,09
247785,1102.0,10
247912,4901.0,10
247913,4901.0,10
247965,4901.0,10
247966,4901.0,10
248196,1102.0,10
248209,1102.0,10
248346,1102.0,10
248348,1102.0,10
248350,1102.0,10
248352,1102.0,10
248354,1102.0,10
248356,1102.0,10
248358,1102.0,10
248360,1102.0,10
248364,1102.0,10
248368,1102.0,10
248476,1103.0,10
248648,5201.0,10
248726,1102.0,10
248730,1102.0,10
248742,1102.0,10
248743,1102.0,10
248744,1102.0,10
248899,1102.0,10
248902,1102.0,10
249029,1102.0,10
249034,1102.0,10
249055,1102.0,10
249056,1102.0,10
249081,1102.0,10
249093,1102.0,10
249094,1102.0,10
249095,1102.0,10
249096,1102.0,10
249099,1102.0,10
249101,1102.0,10
249103,1102.0,10
249115,1102.0,10
249183,1102.0,10
249188,1102.0,10
249191,1102.0,10
249408,1102.0,10
249441,1102.0,10
249446,1102.0,10
249614,1102.0,10
249616,1102.0,10
249631,1102.0,10
249691,1102.0,10
249694,1102.0,10
249696,1102.0,10
249697,1102.0,10
249723,4901.0,10
249745,4901.0,10
257530,1104.0,10
257535,1104.0,10
257608,1101.0,10
257654,1101.0,10
257951,1101.0,10
257992,1101.0,10
258054,1104.0,10
258203,1101.0,10
258204,1101.0,10
258210,1101.0,10
258391,1101.0,10
258484,1101.0,10
258617,1101.0,10
258710,1101.0,10
258887,1103.0,10
259148,1101.0,10
259276,1104.0,10
259278,1104.0,10
259280,1104.0,10
259295,1104.0,10
259327,1101.0,10
259420,4701.0,10
259703,4702.0,10
259704,4702.0,10
259725,4702.0,10
259784,4702.0,10
259792,4702.0,10
259801,1101.0,10
259802,1101.0,10
259818,1101.0,10
259819,1101.0,10
259820,1101.0,10
259821,1101.0,10
259829,1101.0,10
259845,1101.0,10
259846,1101.0,10
259856,1101.0,10
259889,1101.0,10
259928,4702.0,10
259947,4702.0,10
259955,4702.0,10
260001,408.0,10
260002,408.0,10
260003,408.0,10
260004,408.0,10
260005,408.0,10
260006,408.0,10
260008,408.0,10
266310,406.0,10
266338,406.0,10
266471,408.0,10
266630,406.0,10
266636,406.0,10
266637,406.0,10
267082,406.0,10
267534,406.0,10
267640,406.0,10
267935,408.0,10
267936,408.0,10
267951,408.0,10
267952,408.0,10
267953,408.0,10
267954,408.0,10
267955,408.0,10
268443,407.0,10
268535,407.0,10
268618,407.0,10
268685,407.0,10
268800,406.0,10
268824,406.0,10
268836,406.0,10
268844,406.0,10
268845,406.0,10
268847,406.0,10
268854,406.0,10
268855,406.0,10
268906,406.0,10
268977,406.0,10
268978,406.0,10
268979,406.0,10
269031,406.0,10
269032,406.0,10
269033,406.0,10
